DepMap_ID,cell_line,COSMIC_ID,Biological_sex,Age,Lineage,Y_ploidy,X_ploidy,Genotype,Y-linked_genes,X-linked_genes,Chr_Y_gene_expression_PC1,Chr_X,Chr_1
ACH-001677,U2904_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,59,lymphocyte,Y-,X,Male_X0,0.000167372,0.572981667,4.553227283,NA,NA
ACH-001685,UHO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,23,lymphocyte,Y+,X,Male_XY,0.584604923,0.522203478,-9.858755344,NA,NA
ACH-001688,UMRC7_KIDNEY,NA,Male,NA,kidney,Y+,X,Male_XY,0.484064465,0.770445793,-6.665981353,NA,NA
ACH-001690,UPCISCC026_UPPER_AERODIGESTIVE_TRACT,NA,Female,82,upper_aerodigestive,Y-,X,Female_X0,1.51E-05,0.695156443,4.553227283,NA,NA
ACH-001692,UPCISCC040_UPPER_AERODIGESTIVE_TRACT,NA,Male,50,upper_aerodigestive,NA,X,NA,0.567106608,0.626737283,-1.369903817,NA,NA
ACH-001694,UPCISCC074_UPPER_AERODIGESTIVE_TRACT,NA,Female,51,upper_aerodigestive,Y-,XX,Female_XXhet,0.017240649,0.835018307,4.547530954,NA,NA
ACH-001696,UPCISCC111_UPPER_AERODIGESTIVE_TRACT,NA,Female,69,upper_aerodigestive,Y-,XX,Female_XXhet,0.004166766,1.088707037,4.553227283,NA,NA
ACH-001698,UPCISCC116_UPPER_AERODIGESTIVE_TRACT,NA,Male,47,upper_aerodigestive,Y-,X,Male_X0,0.000152851,0.396606892,4.553227283,NA,NA
ACH-001699,UPCISCC131_UPPER_AERODIGESTIVE_TRACT,NA,Male,73,upper_aerodigestive,Y+,X,Male_XY,0.540322654,0.659556052,-5.924399299,NA,NA
ACH-001701,UPCISCC200_UPPER_AERODIGESTIVE_TRACT,NA,Male,74,upper_aerodigestive,Y-,XX,Male_XX,0.083747023,0.953581377,0.05529716,NA,NA
ACH-001702,VAESBJ_SOFT_TISSUE,688121,Male,41,soft_tissue,Y-,X,Male_X0,8.22E-07,0.726757728,4.553227283,NA,NA
ACH-001707,WAOSEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,NA,blood,Y+,X,Male_XY,0.59423153,0.601190343,-7.358518262,NA,NA
ACH-001709,WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909785,Female,46,lymphocyte,Y-,XX,Female_XXhet,0.013976357,0.963650268,2.457137765,NA,NA
ACH-001711,PFSK1_CENTRAL_NERVOUS_SYSTEM,683667,Male,2,central_nervous_system,Y+,X,Male_XY,0.597966652,0.678299974,-7.881328111,NA,NA
ACH-001715,CAL72_BONE,906827,Male,10,bone,NA,X,NA,0.602713672,0.582526007,-1.664382068,NA,NA
ACH-001719,OCIC4P_OVARY,NA,Female,NA,ovary,Y-,X,Female_X0,4.35E-05,0.651105923,4.553227283,NA,NA
ACH-001735,SEMK2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Female,5,blood,Y-,XX,Female_XXhet,0.001088885,0.867937875,4.516962976,NA,NA
ACH-001740,RH28_SOFT_TISSUE,NA,Male,17,soft_tissue,Y+,X,Male_XY,0.350688494,0.424712627,-6.873660841,NA,NA
ACH-001750,TTC442_SOFT_TISSUE,NA,Male,NA,soft_tissue,Y+,X,Male_XY,0.698353254,0.657738975,-9.813986625,NA,NA
ACH-001765,RH4_SOFT_TISSUE,NA,Female,NA,soft_tissue,Y-,X,Female_X0,1.32E-05,0.593321725,4.284105181,NA,NA
ACH-001786,SNU1544_LARGE_INTESTINE,NA,Female,38,colorectal,Y-,XX,Female_XXhet,1.00E-05,0.94506685,4.550840995,NA,NA
ACH-001795,94T778_SOFT_TISSUE,NA,Female,NA,soft_tissue,Y-,XX,Female_XXhet,0.000210065,0.829477019,4.502271256,NA,NA
